Job,2015,2014,2013,2012,2011,Industry
Social and human service assistants,35152,37232,34736,33124,31044,Community and social service occupations
"Miscellaneous community and social service specialists, including health educators and community health workers",43212,40196,39312,34684,35152,Community and social service occupations
Clergy,52104,49816,48620,46540,49140,Community and social service occupations
"Directors, religious activities and education",48308,,,,,Community and social service occupations
"Religious workers, all other",,,,,34008,Community and social service occupations
Legal occupations,72332,66092,65156,69056,66404,Legal occupations
Lawyers,98072,93964,97760,99268,92248,Legal occupations
"Judges, magistrates, and other judicial workers",101504,,,85124,86060,Legal occupations
Paralegals and legal assistants,48204,43212,43992,45344,42848,Legal occupations
Miscellaneous legal support workers,40040,45240,45396,42380,42380,Legal occupations
"Education, training, and library occupations",49712,49556,48724,47580,47788,"Education, training, and library occupations"
Postsecondary teachers,65416,65312,60944,63232,62868,"Education, training, and library occupations"
Preschool and kindergarten teachers,32032,32968,33176,30628,31512,"Education, training, and library occupations"
Elementary and middle school teachers,50648,50960,49608,48984,49244,"Education, training, and library occupations"
Secondary school teachers,55432,53924,53612,52468,52780,"Education, training, and library occupations"
Special education teachers,51324,52052,49452,49088,48828,"Education, training, and library occupations"
Other teachers and instructors,46592,43992,47060,40820,44616,"Education, training, and library occupations"
Librarians,51532,46228,47788,50232,44200,"Education, training, and library occupations"
Teacher assistants,28132,25896,24908,23816,24960,"Education, training, and library occupations"
"Other education, training, and library workers",52052,49712,53612,52572,51064,"Education, training, and library occupations"
"Arts, design, entertainment, sports, and media occupations",52052,49712,51376,50388,48308,"Arts, design, entertainment, sports, and media occupations"
Artists and related workers,60632,60632,53664,58812,57980,"Arts, design, entertainment, sports, and media occupations"
Designers,51636,47892,49972,49556,49400,"Arts, design, entertainment, sports, and media occupations"
Producers and directors,66040,61984,60632,54496,53196,"Arts, design, entertainment, sports, and media occupations"
"Athletes, coaches, umpires, and related workers",40560,45292,46228,49816,42900,"Arts, design, entertainment, sports, and media occupations"
"News analysts, reporters and correspondents",63336,41704,54132,53092,48724,"Arts, design, entertainment, sports, and media occupations"
Public relations specialists,62972,51064,58708,58604,49608,"Arts, design, entertainment, sports, and media occupations"
Editors,59696,52936,56784,49192,46904,"Arts, design, entertainment, sports, and media occupations"
Technical writers,60216,67444,70928,63804,,"Arts, design, entertainment, sports, and media occupations"
Writers and authors,64064,52832,51792,46748,47736,"Arts, design, entertainment, sports, and media occupations"
Broadcast and sound engineering technicians and radio operators,49608,49296,49244,45500,44564,"Arts, design, entertainment, sports, and media occupations"
Photographers,,48776,,,,"Arts, design, entertainment, sports, and media occupations"
Healthcare practitioners and technical occupations,54132,53716,54496,53456,51740,Healthcare practitioners and technical occupations
Dentists,86112,99216,79716,,,Healthcare practitioners and technical occupations
Dietitians and nutritionists,46072,47788,46020,43680,46644,Healthcare practitioners and technical occupations
Pharmacists,99840,103740,101920,97604,99684,Healthcare practitioners and technical occupations
Physicians and surgeons,94848,86372,98020,98124,96720,Healthcare practitioners and technical occupations
Physician assistants,71136,84188,75712,69108,63440,Healthcare practitioners and technical occupations
Occupational therapists,62920,59592,67340,61828,61828,Healthcare practitioners and technical occupations
Physical therapists,65780,72124,71864,66924,68744,Healthcare practitioners and technical occupations
Respiratory therapists,52000,53924,56940,50908,51844,Healthcare practitioners and technical occupations
Speech-language pathologists,59644,56472,63336,58656,55900,Healthcare practitioners and technical occupations
"Therapists, all other",49088,47216,44928,48152,46020,Healthcare practitioners and technical occupations
Veterinarians,75660,,,,,Healthcare practitioners and technical occupations
